Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.990802,0.985228,0.978401,0.988376,0.998203,0.848009,0.990370,0.996002,0.997950,95.009138,
1,0.031226,0.031226,0.990670,0.983748,0.978096,0.988558,0.998434,0.843428,0.990412,0.996453,0.998630,95.098662,
2,1.828182,2.107039,0.982911,0.978105,0.960210,0.976837,0.995567,0.785221,0.973768,0.989138,0.995058,95.116368,
3,1.565362,1.828182,0.982761,0.978109,0.961950,0.975763,0.995169,0.779487,0.974355,0.989370,0.994942,94.745995,
4,1.565362,1.565362,0.987640,0.980007,0.970538,0.985934,0.996949,0.815640,0.988214,0.995376,0.997721,96.357193,
5,1.557050,1.691549,0.984568,0.980083,0.967048,0.978878,0.995015,0.784422,0.975562,0.990285,0.996083,95.264251,
6,1.253124,1.557050,0.983984,0.978719,0.966203,0.977609,0.995085,0.778947,0.973753,0.989398,0.995399,94.639164,
7,0.969552,1.253124,0.981377,0.973690,0.959105,0.975884,0.994267,0.764132,0.971688,0.988380,0.994691,93.597538,
8,0.846952,0.969552,0.987639,0.972975,0.972593,0.987516,0.997619,0.819579,0.988312,0.995457,0.997750,95.412129,
9,0.815555,0.846952,0.983131,0.973670,0.962931,0.977657,0.995764,0.778706,0.972611,0.988316,0.994339,93.741836,
10,0.815555,0.815555,0.980988,0.966715,0.963222,0.976040,0.994178,0.764729,0.970141,0.987543,0.994195,93.227933,
11,1.067908,1.067908,0.983442,0.976600,0.964326,0.977314,0.995134,0.778345,0.973117,0.988906,0.995105,94.230733,
12,1.160011,1.160011,0.990523,0.981793,0.977665,0.990171,0.997860,0.831121,0.990760,0.996609,0.998483,96.577514,
13,1.251359,1.251359,0.983617,0.978856,0.962343,0.977881,0.995084,0.774938,0.975387,0.989940,0.995385,94.588458,
14,1.499704,1.499704,0.984127,0.980016,0.967069,0.978645,0.993745,0.789202,0.976811,0.990434,0.995601,95.065720,
15,1.586304,1.586304,0.985905,0.979881,0.969411,0.979665,0.996424,0.799985,0.979101,0.991548,0.996288,95.679260,
16,1.800974,1.800974,0.990917,0.979282,0.978586,0.990993,0.998594,0.839964,0.991594,0.997174,0.998962,97.581778,
17,2.482732,2.482732,0.985487,0.975688,0.966871,0.980217,0.997267,0.789931,0.974601,0.989446,0.995036,96.542535,
18,2.629329,2.629329,0.984008,0.975264,0.963518,0.979487,0.995560,0.787881,0.970958,0.987273,0.993710,96.190602,
19,3.261353,3.485895,0.983054,0.974419,0.961814,0.978106,0.994914,0.774311,0.969656,0.986642,0.993144,96.712822,
20,2.980053,3.261353,0.990007,0.980726,0.976004,0.988805,0.997923,0.838221,0.989033,0.995847,0.998263,98.800280,
21,2.730024,2.980053,0.984325,0.975810,0.964042,0.979463,0.995859,0.787887,0.971755,0.987840,0.994215,96.458610,
22,2.394959,2.730024,0.982510,0.975060,0.960563,0.976783,0.994651,0.772892,0.970043,0.987385,0.993955,95.582621,
23,2.027003,2.394959,0.986528,0.983435,0.968008,0.979096,0.996925,0.781027,0.972568,0.988919,0.995223,96.161371,
24,1.584479,2.027003,0.991394,0.986521,0.979106,0.989348,0.997772,0.831522,0.988904,0.995927,0.998282,97.274561,
25,1.507890,1.584479,0.983209,0.979392,0.964304,0.976230,0.994029,0.759279,0.964957,0.984943,0.992642,94.355765,
26,1.507890,1.507890,0.983687,0.979266,0.965289,0.976952,0.994369,0.768322,0.966188,0.985555,0.993329,94.543068,
27,1.641322,1.648447,0.985747,0.980339,0.968356,0.978917,0.996411,0.772750,0.969140,0.987355,0.994522,95.350846,
28,1.478553,1.641322,0.990405,0.984564,0.975285,0.987703,0.998491,0.812604,0.985760,0.994635,0.997757,96.803795,
29,1.478553,1.478553,0.983953,0.976789,0.967994,0.977622,0.994544,0.773641,0.968502,0.986178,0.993133,94.582332,
30,1.579487,1.579487,0.981559,0.976490,0.961059,0.977764,0.991465,0.767493,0.964177,0.983799,0.991585,93.949042,
31,1.617428,1.617428,0.982078,0.974860,0.963547,0.978551,0.991985,0.757850,0.962825,0.983267,0.991315,94.064097,
32,1.673781,1.795108,0.990044,0.983114,0.976635,0.987829,0.997658,0.816780,0.985749,0.994565,0.997643,96.969916,
33,1.664136,1.673781,0.982519,0.974801,0.962370,0.976899,0.994173,0.762146,0.964444,0.984571,0.992738,94.396590,
34,1.664136,1.664136,0.979084,0.974928,0.955599,0.971842,0.991336,0.748537,0.961618,0.983305,0.991874,93.519938,
35,1.881911,1.881911,0.981965,0.978519,0.959972,0.974254,0.993824,0.760330,0.964835,0.985067,0.992739,94.582484,
36,2.212729,2.212729,0.988547,0.981499,0.972953,0.985668,0.997105,0.813457,0.985402,0.994428,0.997625,97.340864,
37,2.469100,2.469100,0.981640,0.977184,0.961001,0.974471,0.993149,0.750492,0.961607,0.983359,0.992078,95.128821,
38,2.231695,2.764389,0.983372,0.978157,0.965360,0.976867,0.993866,0.764470,0.964599,0.984658,0.992732,95.319721,
39,2.231695,2.231695,0.983081,0.979025,0.963263,0.975925,0.993986,0.774314,0.966131,0.985400,0.992985,95.314182,
40,2.671250,2.671250,0.988831,0.979814,0.975485,0.986897,0.996705,0.820957,0.985909,0.994519,0.997534,98.001373,
41,2.695227,2.826958,0.984163,0.977365,0.961752,0.977740,0.996426,0.763245,0.959921,0.981801,0.990605,95.772908,
42,2.260547,2.695227,0.981763,0.973731,0.961489,0.976363,0.993212,0.764253,0.959575,0.981663,0.990750,94.696182,
43,2.260547,2.260547,0.980595,0.976501,0.956712,0.974027,0.992711,0.742674,0.955384,0.980394,0.990523,94.357627,
44,2.353727,2.545282,0.989428,0.984094,0.973554,0.987221,0.997176,0.812187,0.983908,0.993903,0.997393,97.667732,
45,2.353727,2.353727,0.978667,0.974521,0.951736,0.970451,0.992743,0.724329,0.951786,0.978507,0.988980,93.845522,
46,2.070002,2.365672,0.981998,0.975961,0.956373,0.977499,0.994171,0.747163,0.957762,0.980899,0.990398,94.437719,
